;club_name;player_name;age;position;club_involved_name;fee;transfer_movement;transfer_period;fee_cleaned;league_name;year;season;player_url;id-name
2798;RB Leipzig;Timo Werner;20.0;Centre-Forward;VfB Stuttgart;£19.98m;in;Summer;19.98;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/212188/timo-werner/170002;timo-werner
2799;VfL Wolfsburg;Felix Uduokhai;19.0;Centre-Back;1860 Munich;£900Th.;in;Summer;0.9;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/232144/felix-uduokhai/180002;felix-uduokhai
2800;Cagliari Calcio;Gabriele Zappa;21.0;Right-Back;Pescara;£3.15m;in;Summer;3.15;Serie A;2021;2021/2022;https://sofifa.com/player/252964/gabriele-zappa/220002;gabriele-zappa
2801;Inter Milan;Lucien Agoume;17.0;Defensive Midfield;FC Sochaux;£4.05m;in;Summer;4.05;Serie A;2019;2019/2020;https://sofifa.com/player/246683/lucien-agoume/200002;lucien-agoume
2802;FC Lorient;Thomas Monconduit;29.0;Defensive Midfield;Amiens SC;£1.80m;in;Summer;1.8;Ligue 1;2020;2020/2021;https://sofifa.com/player/203128/thomas-monconduit/210002;thomas-monconduit
2803;VfL Wolfsburg;Felix Klaus;25.0;Right Winger;Hannover 96;£2.70m;in;Summer;2.7;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/202088/felix-klaus/190002;felix-klaus
2804;Charlton Athletic;Patrick Bauer;22.0;Centre-Back;Marítimo;£1.35m;in;Summer;1.35;Championship;2015;2015/2016;https://sofifa.com/player/204496/patrick-bauer/160002;patrick-bauer
2805;RB Leipzig;Oliver Burke;19.0;Centre-Forward;Nottm Forest;£13.68m;in;Summer;13.68;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/225632/oliver-burke/170002;oliver-burke
2806;Real Betis Balompié;Ryad Boudebouz;27.0;Attacking Midfield;Montpellier;£6.30m;in;Summer;6.3;Primera Division;2017;2017/2018;https://sofifa.com/player/188388/ryad-boudebouz/180002;ryad-boudebouz
2807;Cagliari Calcio;Boris Radunović;25.0;Goalkeeper;Atalanta BC;£450Th.;in;Summer;0.45;Serie A;2021;2021/2022;https://sofifa.com/player/231073/boris-radunovic/220002;boris-radunović
2808;RB Leipzig;Bernardo;21.0;Left-Back;RB Salzburg;£5.40m;in;Summer;5.4;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/232805/bernardo-fernandes/170002;
2809;Torino FC;David Zima;20.0;Centre-Back;Slavia Prague;£5.31m;in;Summer;5.31;Serie A;2021;2021/2022;https://sofifa.com/player/255687/david-zima/220002;david-zima
2810;Real Betis Balompié;Víctor Camarasa;23.0;Central Midfield;Levante;£6.30m;in;Summer;6.3;Primera Division;2017;2017/2018;https://sofifa.com/player/219571/victor-camarasa-ferrando/180002;víctor-camarasa
2811;Preston North End;Tom Bayliss;20.0;Central Midfield;Coventry;£1.98m;in;Summer;1.98;Championship;2019;2019/2020;https://sofifa.com/player/239553/tom-bayliss/200002;tom-bayliss
2812;Hamburger SV;Gotoku Sakai;24.0;Left-Back;VfB Stuttgart;£630Th.;in;Summer;0.63;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/207472/gotoku-sakai/160002;gotoku-sakai
2813;VfL Wolfsburg;Pavao Pervan;30.0;Goalkeeper;LASK;£450Th.;in;Summer;0.45;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/199909/pavao-pervan/190002;pavao-pervan
2814;Sporting CP;Pedro Gonçalves;22.0;Right Winger;Famalicão;£5.85m;in;Summer;5.85;Liga Nos;2020;2020/2021;https://sofifa.com/player/240950/pedro-antonio-pereira-goncalves/210002;pedro-gonçalves
2815;Parma Calcio 1913;Roberto Inglese;28.0;Centre-Forward;SSC Napoli;£19.62m;in;Summer;19.62;Serie A;2020;2020/2021;https://sofifa.com/player/199559/roberto-inglese/210002;roberto-inglese
2816;SD Eibar;Fabián Orellana;32.0;Right Winger;Valencia;£1.80m;in;Summer;1.8;Primera Division;2018;2018/2019;0;fabián-orellana
2817;Real Betis Balompié;Cristian Tello;25.0;Left Winger;Barcelona;£3.60m;in;Summer;3.6;Primera Division;2017;2017/2018;https://sofifa.com/player/200315/cristian-tello-herrera/180002;cristian-tello
2818;Charlton Athletic;El-Hadji Ba;22.0;Defensive Midfield;Sunderland;£450Th.;in;Summer;0.45;Championship;2015;2015/2016;https://sofifa.com/player/212338/el-hadji-ba/160002;el-hadji-ba
2819;FC Utrecht;Vaclav Cerny;21.0;Right Winger;Ajax;£810Th.;in;Summer;0.81;Eredivisie;2019;2019/2020;https://sofifa.com/player/216860/vaclav-cerny/200002;vaclav-cerny
2820;Torino FC;Magnus Warming;21.0;Left Winger;Lyngby BK;£1.08m;in;Summer;1.08;Serie A;2021;2021/2022;https://sofifa.com/player/238755/magnus-warming/220002;magnus-warming
2821;RB Leipzig;Marius Müller;22.0;Goalkeeper;1.FC K'lautern;£1.53m;in;Summer;1.53;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/208375/marius-muller/170002;marius-müller
2822;Sporting CP;Tabata;23.0;Right Winger;Portimonense;£4.50m;in;Summer;4.5;Liga Nos;2020;2020/2021;https://sofifa.com/player/238858/bruno-vinicius-souza-ramos/210002;
2823;Leeds United;Patrick Bamford;24.0;Centre-Forward;Middlesbrough;£7.11m;in;Summer;7.11;Championship;2018;2018/2019;https://sofifa.com/player/206534/patrick-bamford/190002;patrick-bamford
2824;Hamburger SV;Batuhan Altintas;19.0;Centre-Forward;Bursaspor;£360Th.;in;Summer;0.36;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/223199/batuhan-altintas/160002;batuhan-altintas
2825;FC Utrecht;Adrián Dalmau;25.0;Centre-Forward;Heracles Almelo;£630Th.;in;Summer;0.63;Eredivisie;2019;2019/2020;0;adrián-dalmau
2826;Real Betis Balompié;Sergio León;28.0;Centre-Forward;CA Osasuna;£3.15m;in;Summer;3.15;Primera Division;2017;2017/2018;https://sofifa.com/player/198715/sergio-leon-limones/180002;sergio-león
2827;Charlton Athletic;Zakarya Bergdich;26.0;Left-Back;Real Valladolid;£225Th.;in;Summer;0.225;Championship;2015;2015/2016;https://sofifa.com/player/199800/zakarya-bergdich/160002;zakarya-bergdich
2828;SC Paderborn 07;Rifet Kapic;23.0;Central Midfield;Grasshoppers;£135Th.;in;Summer;0.135;1 Bundesliga;2019;2019/2020;https://sofifa.com/player/242350/rifet-kapic/200002;rifet-kapic
2829;Real Betis Balompié;Zouhair Feddal;27.0;Centre-Back;Alavés;£2.25m;in;Summer;2.25;Primera Division;2017;2017/2018;https://sofifa.com/player/205705/zouhair-feddal/180002;zouhair-feddal
2830;Parma Calcio 1913;Valentin Mihaila;20.0;Left Winger;Univ. Craiova;£8.19m;in;Summer;8.19;Serie A;2020;2020/2021;https://sofifa.com/player/248060/valentin-mihaila/210002;valentin-mihaila
