;club_name;player_name;age;position;club_involved_name;fee;transfer_movement;transfer_period;fee_cleaned;league_name;year;season;player_url;id-name
3312;Valencia CF;Nani;29.0;Left Winger;Fenerbahce;£7.65m;in;Summer;7.65;Primera Division;2016;2016/2017;https://sofifa.com/player/139068/luis-carlos-almeida-da-cunha/170002;
3313;Wigan Athletic;Kieffer Moore;26.0;Centre-Forward;Barnsley FC;£2.43m;in;Summer;2.43;Championship;2019;2019/2020;https://sofifa.com/player/216627/kieffer-moore/200002;kieffer-moore
3314;Borussia Dortmund;Leonardo Balerdi;19.0;Centre-Back;Boca Juniors;£13.95m;in;Winter;13.95;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/242835/leonardo-balerdi/190002;leonardo-balerdi
3315;SC Freiburg;Patrick Kammerbauer;20.0;Defensive Midfield;1.FC Nuremberg;£315Th.;in;Winter;0.315;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/235253/patrick-kammerbauer/180002;patrick-kammerbauer
3316;Wigan Athletic;Jamal Lowe;25.0;Right Winger;Portsmouth;£2.43m;in;Summer;2.43;Championship;2019;2019/2020;https://sofifa.com/player/211384/jamal-lowe/200002;jamal-lowe
3317;Celta de Vigo;Augusto Solari;29.0;Right Winger;Racing Club;£450Th.;in;Winter;0.45;Primera Division;2020;2020/2021;https://sofifa.com/player/212214/augusto-solari/210002;augusto-solari
3318;SS Lazio;Moritz Leitner;23.0;Central Midfield;Bor. Dortmund;£1.35m;in;Summer;1.35;Serie A;2016;2016/2017;https://sofifa.com/player/200857/moritz-leitner/170002;moritz-leitner
3319;Aston Villa;Idrissa Gueye;25.0;Defensive Midfield;LOSC Lille;£8.10m;in;Summer;8.1;Premier League;2015;2015/2016;https://sofifa.com/player/193474/idrissa-gueye/160002;idrissa-gueye
3320;AS Saint-Étienne;Rémy Cabella;28.0;Attacking Midfield;Marseille;£5.40m;in;Summer;5.4;Ligue 1;2018;2018/2019;https://sofifa.com/player/193476/remy-cabella/190002;rémy-cabella
3321;US Lecce;Romario Benzar;27.0;Right-Back;FCSB;£1.80m;in;Summer;1.8;Serie A;2019;2019/2020;https://sofifa.com/player/235814/romario-benzar/200002;romario-benzar
3322;AS Saint-Étienne;Franck Honorat;22.0;Right Winger;Clermont Foot;£1.80m;in;Summer;1.8;Ligue 1;2018;2018/2019;https://sofifa.com/player/220876/franck-honorat/190002;franck-honorat
3323;Aston Villa;Rudy Gestede;26.0;Centre-Forward;Blackburn;£7.65m;in;Summer;7.65;Premier League;2015;2015/2016;https://sofifa.com/player/187942/rudy-gestede/160002;rudy-gestede
3324;West Ham United;Saïd Benrahma;25.0;Left Winger;Brentford;£20.79m;in;Winter;20.79;Premier League;2020;2020/2021;https://sofifa.com/player/220621/said-benrahma/210002;saïd-benrahma
3325;Wolverhampton Wanderers;Rúben Neves;20.0;Defensive Midfield;FC Porto;£16.11m;in;Summer;16.11;Championship;2017;2017/2018;https://sofifa.com/player/224293/ruben-diogo-da-silva-neves/180002;rúben-neves
3326;SS Lazio;Luiz Felipe;19.0;Centre-Back;Ituano;£675Th.;in;Summer;0.675;Serie A;2016;2016/2017;https://sofifa.com/player/236355/luiz-felipe-ramos-marchi/170002;luiz-felipe
3327;Ajax Amsterdam;Lisandro Magallán;25.0;Centre-Back;Boca Juniors;£8.10m;in;Winter;8.1;Eredivisie;2018;2018/2019;https://sofifa.com/player/211263/lisandro-magallan/190002;lisandro-magallán
3328;SV Werder Bremen;László Kleinheisler;21.0;Attacking Midfield;Videoton FC;£225Th.;in;Winter;0.225;1 Bundesliga;2015;2015/2016;0;lászló-kleinheisler
3329;Wigan Athletic;Antonee Robinson;21.0;Left-Back;Everton U23;£1.98m;in;Summer;1.98;Championship;2019;2019/2020;https://sofifa.com/player/229348/antonee-robinson/200002;antonee-robinson
3330;SV Werder Bremen;Milot Rashica;21.0;Right Winger;Vitesse;£7.29m;in;Winter;7.29;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/229167/milot-rashica/180002;milot-rashica
3331;RB Leipzig;Dayot Upamecano;18.0;Centre-Back;RB Salzburg;£16.65m;in;Winter;16.65;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/229558/dayot-upamecano/170002;dayot-upamecano
3332;West Ham United;Frederik Alves;21.0;Centre-Back;Silkeborg IF;£1.44m;in;Winter;1.44;Premier League;2020;2020/2021;0;frederik-alves
3333;Levante UD;Emmanuel Boateng;21.0;Centre-Forward;Moreirense;£2.61m;in;Summer;2.61;Primera Division;2017;2017/2018;https://sofifa.com/player/217606/emmanuel-boateng/180002;emmanuel-boateng
3334;Valencia CF;Álvaro Medrán;22.0;Central Midfield;Real Madrid;£1.35m;in;Summer;1.35;Primera Division;2016;2016/2017;https://sofifa.com/player/212476/alvaro-medran-just/170002;álvaro-medrán
3335;FC Groningen;Alexander Sörloth;20.0;Centre-Forward;Rosenborg;£495Th.;in;Winter;0.495;Eredivisie;2015;2015/2016;0;alexander-sörloth
3336;Villarreal CF;Gerard Moreno;26.0;Centre-Forward;Espanyol;£18.00m;in;Summer;18.0;Primera Division;2018;2018/2019;https://sofifa.com/player/208093/gerard-moreno-balaguero/190002;gerard-moreno
3337;Bristol City;Lee Tomlin;27.0;Second Striker;Bournemouth;£3.15m;in;Summer;3.15;Championship;2016;2016/2017;https://sofifa.com/player/172904/lee-tomlin/170002;lee-tomlin
3338;Aston Villa;Scott Sinclair;26.0;Left Winger;Man City;£3.15m;in;Summer;3.15;Premier League;2015;2015/2016;https://sofifa.com/player/169214/scott-sinclair/160002;scott-sinclair
3339;Villarreal CF;Karl Toko Ekambi;25.0;Left Winger;SCO Angers;£16.20m;in;Summer;16.2;Primera Division;2018;2018/2019;https://sofifa.com/player/224069/karl-toko-ekambi/190002;karl-toko-ekambi
3340;SL Benfica;Lucas Veríssimo;25.0;Centre-Back;Santos FC;£5.85m;in;Winter;5.85;Liga Nos;2020;2020/2021;0;lucas-veríssimo
3341;Wolverhampton Wanderers;Roderick Miranda;26.0;Centre-Back;Rio Ave FC;£2.70m;in;Summer;2.7;Championship;2017;2017/2018;https://sofifa.com/player/193143/roderick-j-goncalves-miranda/180002;roderick-miranda
3342;TSG 1899 Hoffenheim;Munas Dabbur;27.0;Centre-Forward;Sevilla FC;£10.80m;in;Winter;10.8;1 Bundesliga;2019;2019/2020;https://sofifa.com/player/208498/munas-dabbur/200002;munas-dabbur
3343;Wigan Athletic;Tom Pearce;21.0;Left-Back;Leeds;£293Th.;in;Summer;0.293;Championship;2019;2019/2020;https://sofifa.com/player/235347/tom-pearce/200002;tom-pearce
3344;Bristol City;Hördur Magnússon;23.0;Centre-Back;Juventus;£1.89m;in;Summer;1.89;Championship;2016;2016/2017;0;hördur-magnússon
3345;Villarreal CF;Roger Martínez;24.0;Centre-Forward;JS Suning;£13.41m;in;Summer;13.41;Primera Division;2018;2018/2019;0;roger-martínez
3346;Spezia Calcio;Ardian Ismajli;23.0;Centre-Back;Hajduk Split;£1.98m;in;Summer;1.98;Serie A;2020;2020/2021;https://sofifa.com/player/258782/ardian-ismajli/210002;ardian-ismajli
3347;Wolverhampton Wanderers;Barry Douglas;27.0;Left-Back;Konyaspor;£1.03m;in;Summer;1.03;Championship;2017;2017/2018;https://sofifa.com/player/200443/barry-douglas/180002;barry-douglas
3348;Spezia Calcio;Jeroen Zoet;29.0;Goalkeeper;PSV Eindhoven;£1.35m;in;Summer;1.35;Serie A;2020;2020/2021;https://sofifa.com/player/190778/jeroen-zoet/210002;jeroen-zoet
3349;Aston Villa;Joleon Lescott;33.0;Centre-Back;West Brom;£1.26m;in;Summer;1.26;Premier League;2015;2015/2016;0;joleon-lescott
3350;Bristol City;Taylor Moore;19.0;Centre-Back;Lens;£1.58m;in;Summer;1.58;Championship;2016;2016/2017;https://sofifa.com/player/226791/taylor-moore/170002;taylor-moore
3351;RB Leipzig;Amadou Haidara;20.0;Central Midfield;RB Salzburg;£17.10m;in;Winter;17.1;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/238463/amadou-haidara/190002;amadou-haidara
3352;SV Werder Bremen;Sebastian Langkamp;30.0;Centre-Back;Hertha BSC;£900Th.;in;Winter;0.9;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/183568/sebastian-langkamp/180002;sebastian-langkamp
3353;TSG 1899 Hoffenheim;Jacob Bruun Larsen;21.0;Left Winger;Bor. Dortmund;£8.10m;in;Winter;8.1;1 Bundesliga;2019;2019/2020;https://sofifa.com/player/227503/jacob-bruun-larsen/200002;jacob-bruun-larsen
3354;RB Leipzig;Tyler Adams;19.0;Defensive Midfield;New York;£2.37m;in;Winter;2.37;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/232999/tyler-adams/190002;tyler-adams
3355;Bristol City;Gustav Engvall;20.0;Centre-Forward;IFK Göteborg;£1.44m;in;Summer;1.44;Championship;2016;2016/2017;https://sofifa.com/player/215487/gustav-engvall/170002;gustav-engvall
3356;AC Milan;Carlos Bacca;28.0;Centre-Forward;Sevilla FC;£29.97m;in;Summer;29.97;Serie A;2015;2015/2016;https://sofifa.com/player/207664/carlos-bacca/160002;carlos-bacca
3357;Levante UD;Cheick Doukouré;24.0;Defensive Midfield;FC Metz;£1.44m;in;Summer;1.44;Primera Division;2017;2017/2018;https://sofifa.com/player/195698/cheick-doukoure/180002;cheick-doukouré
3358;US Lecce;Brayan Vera;20.0;Left-Back;Leones FC;£720Th.;in;Summer;0.72;Serie A;2019;2019/2020;https://sofifa.com/player/246300/brayan-vera/200002;brayan-vera
3359;Bristol City;Callum O'Dowda;21.0;Left Winger;Oxford United;£1.08m;in;Summer;1.08;Championship;2016;2016/2017;https://sofifa.com/player/212454/callum-odowda/170002;callum-o'dowda
3360;Levante UD;Enis Bardhi;22.0;Attacking Midfield;Újpest FC;£1.35m;in;Summer;1.35;Primera Division;2017;2017/2018;https://sofifa.com/player/237239/enis-bardhi/180002;enis-bardhi
3361;Villarreal CF;Santiago Cáseres;21.0;Defensive Midfield;Vélez Sarsfield;£9.00m;in;Summer;9.0;Primera Division;2018;2018/2019;https://sofifa.com/player/236527/santiago-caseres/190002;santiago-cáseres
3362;Aston Villa;José Crespo;28.0;Centre-Back;Córdoba CF;£720Th.;in;Summer;0.72;Premier League;2015;2015/2016;0;josé-crespo
3363;Hull City;Ryan Mason;25.0;Central Midfield;Spurs;£13.86m;in;Summer;13.86;Premier League;2016;2016/2017;https://sofifa.com/player/190683/ryan-mason/170002;ryan-mason
3364;Villarreal CF;Ramiro Funes Mori;27.0;Centre-Back;Everton;£8.10m;in;Summer;8.1;Primera Division;2018;2018/2019;https://sofifa.com/player/199667/ramiro-funes-mori/190002;ramiro-funes-mori
3365;Levante UD;Ivi López;23.0;Attacking Midfield;Sevilla Atl.;£1.08m;in;Summer;1.08;Primera Division;2017;2017/2018;0;ivi-lópez
3366;Leeds United;Chris Wood;23.0;Centre-Forward;Leicester;£3.24m;in;Summer;3.24;Championship;2015;2015/2016;https://sofifa.com/player/192123/chris-wood/160002;chris-wood
3367;US Lecce;Luca Rossettini;34.0;Centre-Back;Genoa;£450Th.;in;Summer;0.45;Serie A;2019;2019/2020;https://sofifa.com/player/185163/luca-rossettini/200002;luca-rossettini
3368;Leeds United;Stuart Dallas;24.0;Right-Back;Brentford;£1.71m;in;Summer;1.71;Championship;2015;2015/2016;https://sofifa.com/player/203570/stuart-dallas/160002;stuart-dallas
3369;Levante UD;Mitchell Langerak;29.0;Goalkeeper;VfB Stuttgart;£540Th.;in;Summer;0.54;Primera Division;2017;2017/2018;https://sofifa.com/player/182435/mitchell-langerak/180002;mitchell-langerak
3370;Hull City;David Marshall;31.0;Goalkeeper;Cardiff;£3.69m;in;Summer;3.69;Premier League;2016;2016/2017;https://sofifa.com/player/140498/david-marshall/170002;david-marshall
3371;Aston Villa;Wesley;22.0;Centre-Forward;Club Brugge;£22.50m;in;Summer;22.5;Premier League;2019;2019/2020;https://sofifa.com/player/232381/wesley-moraes-ferreira-da-silva/200002;
3372;Aston Villa;Tyrone Mings;26.0;Centre-Back;Bournemouth;£20.07m;in;Summer;20.07;Premier League;2019;2019/2020;https://sofifa.com/player/212419/tyrone-mings/200002;tyrone-mings
3373;Villarreal CF;Carlos Bacca;31.0;Centre-Forward;AC Milan;£6.30m;in;Summer;6.3;Primera Division;2018;2018/2019;https://sofifa.com/player/207664/carlos-bacca/190002;carlos-bacca
3374;Levante UD;Oier Olazábal;27.0;Goalkeeper;Granada CF;£180Th.;in;Summer;0.18;Primera Division;2017;2017/2018;https://sofifa.com/player/183141/oier-olazabal-paredes/180002;oier-olazábal
3375;AC Milan;Alessio Romagnoli;20.0;Centre-Back;AS Roma;£22.50m;in;Summer;22.5;Serie A;2015;2015/2016;https://sofifa.com/player/210413/alessio-romagnoli/160002;alessio-romagnoli
3376;Hull City;Will Keane;23.0;Centre-Forward;Man Utd;£1.08m;in;Summer;1.08;Premier League;2016;2016/2017;https://sofifa.com/player/201911/will-keane/170002;will-keane
3377;Villarreal CF;Miguel Layún;30.0;Right-Back;FC Porto;£3.60m;in;Summer;3.6;Primera Division;2018;2018/2019;0;miguel-layún
3378;SC Braga;Cristian Borja;27.0;Left-Back;Sporting CP;£2.70m;in;Winter;2.7;Liga Nos;2020;2020/2021;https://sofifa.com/player/227153/cristian-borja/210002;cristian-borja
3379;FC Schalke 04;Cedric Teuchert;20.0;Centre-Forward;1.FC Nuremberg;£900Th.;in;Winter;0.9;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/226050/cedric-teuchert/180002;cedric-teuchert
3380;Hull City;James Weir;21.0;Central Midfield;Man Utd U23;£180Th.;in;Summer;0.18;Premier League;2016;2016/2017;https://sofifa.com/player/183681/robbie-weir/170002;james-weir
3381;US Lecce;Panagiotis Tachtsidis;28.0;Defensive Midfield;Nottm Forest;£450Th.;in;Summer;0.45;Serie A;2019;2019/2020;https://sofifa.com/player/190084/panagiotis-tachtsidis/200002;panagiotis-tachtsidis
3382;Willem II Tilburg;Bartholomew Ogbeche;31.0;Centre-Forward;SC Cambuur;£270Th.;in;Winter;0.27;Eredivisie;2015;2015/2016;https://sofifa.com/player/49486/bartholomew-ogbeche/160002;bartholomew-ogbeche
3383;VfB Stuttgart;Ozan Kabak;18.0;Centre-Back;Galatasaray;£9.90m;in;Winter;9.9;1 Bundesliga;2018;2018/2019;0;ozan-kabak
3384;FC Famalicão;Manuel Ugarte;19.0;Defensive Midfield;CA Fénix;£3.69m;in;Winter;3.69;Liga Nos;2020;2020/2021;https://sofifa.com/player/253306/manuel-ugarte/210002;manuel-ugarte
3385;UD Las Palmas;Mauricio Lemos;20.0;Centre-Back;Rubin Kazan;£1.80m;in;Summer;1.8;Primera Division;2016;2016/2017;https://sofifa.com/player/229270/mauricio-lemos/170002;mauricio-lemos
3386;Leeds United;Jordan Botaka;22.0;Right Winger;Excelsior;£608Th.;in;Summer;0.608;Championship;2015;2015/2016;0;jordan-botaka
3387;Aston Villa;Douglas Luiz;21.0;Defensive Midfield;Man City;£15.12m;in;Summer;15.12;Premier League;2019;2019/2020;https://sofifa.com/player/236499/douglas-luiz-soares-de-paulo/200002;douglas-luiz
3388;Eintracht Frankfurt;Marijan Cavar;19.0;Central Midfield;Zrinjski Mostar;£360Th.;in;Winter;0.36;1 Bundesliga;2017;2017/2018;0;marijan-cavar
3389;Torino FC;Simone Verdi;28.0;Attacking Midfield;SSC Napoli;£19.80m;in;Summer;19.8;Serie A;2020;2020/2021;https://sofifa.com/player/196889/simone-verdi/210002;simone-verdi
3390;UD Las Palmas;Mateo García;19.0;Right Winger;Instituto AC;£360Th.;in;Summer;0.36;Primera Division;2016;2016/2017;0;mateo-garcía
3391;US Lecce;Biagio Meccariello;28.0;Centre-Back;Brescia;£90Th.;in;Summer;0.09;Serie A;2019;2019/2020;https://sofifa.com/player/211189/biagio-meccariello/200002;biagio-meccariello
3392;AC Milan;Gustavo Gómez;23.0;Centre-Back;Lanús;£8.60m;in;Summer;8.6;Serie A;2016;2016/2017;0;gustavo-gómez
3393;AS Saint-Étienne;Loïs Diony;24.0;Centre-Forward;Dijon;£9.00m;in;Summer;9.0;Ligue 1;2017;2017/2018;https://sofifa.com/player/212350/lois-diony/180002;loïs-diony
3394;AC Milan;Andrea Bertolacci;24.0;Central Midfield;AS Roma;£18.90m;in;Summer;18.9;Serie A;2015;2015/2016;https://sofifa.com/player/192073/andrea-bertolacci/160002;andrea-bertolacci
3395;Torino FC;Karol Linetty;25.0;Attacking Midfield;Sampdoria;£6.75m;in;Summer;6.75;Serie A;2020;2020/2021;https://sofifa.com/player/211408/karol-linetty/210002;karol-linetty
3396;1.FSV Mainz 05;Emil Berggreen;22.0;Centre-Forward;E. Braunschweig;£2.25m;in;Winter;2.25;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/223537/emil-berggreen/160002;emil-berggreen
3397;Torino FC;Mërgim Vojvoda;25.0;Right-Back;Standard Liège;£4.68m;in;Summer;4.68;Serie A;2020;2020/2021;https://sofifa.com/player/228349/mergim-vojvoda/210002;mërgim-vojvoda
3398;AS Saint-Étienne;Assane Dioussé;19.0;Defensive Midfield;Empoli;£4.50m;in;Summer;4.5;Ligue 1;2017;2017/2018;https://sofifa.com/player/230144/assane-diousse/180002;assane-dioussé
3399;Cardiff City;Josh Murphy;23.0;Left Winger;Norwich;£10.26m;in;Summer;10.26;Premier League;2018;2018/2019;https://sofifa.com/player/206083/josh-murphy/190002;josh-murphy
3400;AC Milan;Gianluca Lapadula;26.0;Centre-Forward;Pescara;£8.55m;in;Summer;8.55;Serie A;2016;2016/2017;https://sofifa.com/player/211302/gianluca-lapadula/170002;gianluca-lapadula
3401;Aston Villa;Matt Targett;23.0;Left-Back;Southampton;£13.95m;in;Summer;13.95;Premier League;2019;2019/2020;https://sofifa.com/player/218659/matt-targett/200002;matt-targett
3402;Eintracht Frankfurt;Tuta;19.0;Centre-Back;FC São Paulo B;£1.62m;in;Winter;1.62;1 Bundesliga;2018;2018/2019;0;
3403;AS Saint-Étienne;Gabriel Silva;26.0;Left-Back;Udinese Calcio;£2.25m;in;Summer;2.25;Ligue 1;2017;2017/2018;https://sofifa.com/player/197688/gabriel-moises-antunes-da-silva/180002;gabriel-silva
3404;AC Milan;José Sosa;31.0;Central Midfield;Besiktas;£6.75m;in;Summer;6.75;Serie A;2016;2016/2017;0;josé-sosa
3405;Torino FC;Ricardo Rodríguez;28.0;Left-Back;AC Milan;£1.76m;in;Summer;1.76;Serie A;2020;2020/2021;https://sofifa.com/player/257034/ricardo-rodriguez/210002;ricardo-rodríguez
3406;Aston Villa;Ezri Konsa;21.0;Centre-Back;Brentford;£11.97m;in;Summer;11.97;Premier League;2019;2019/2020;https://sofifa.com/player/227678/ezri-konsa/200002;ezri-konsa
3407;AC Milan;Luiz Adriano;28.0;Centre-Forward;Shakhtar D.;£12.60m;in;Summer;12.6;Serie A;2015;2015/2016;https://sofifa.com/player/180826/luiz-adriano-souza-da-silva/160002;luiz-adriano
3408;AC Milan;Luca Antonelli;28.0;Left-Back;Genoa;£4.05m;in;Summer;4.05;Serie A;2015;2015/2016;https://sofifa.com/player/173204/luca-antonelli/160002;luca-antonelli
3409;AS Saint-Étienne;Jorginho;21.0;Left Winger;Arouca;£900Th.;in;Summer;0.9;Ligue 1;2017;2017/2018;0;
3410;Cardiff City;Bobby Reid;25.0;Attacking Midfield;Bristol City;£10.22m;in;Summer;10.22;Premier League;2018;2018/2019;https://sofifa.com/player/203502/bobby-reid/190002;bobby-reid
3411;Aston Villa;Marvelous Nakamba;25.0;Defensive Midfield;Club Brugge;£10.80m;in;Summer;10.8;Premier League;2019;2019/2020;https://sofifa.com/player/222994/marvelous-nakamba/200002;marvelous-nakamba
3412;1.FSV Mainz 05;Giulio Donati;25.0;Right-Back;Bay. Leverkusen;£900Th.;in;Winter;0.9;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/197786/giulio-donati/160002;giulio-donati
3413;Aston Villa;Trezeguet;24.0;Left Winger;Kasimpasa;£9.00m;in;Summer;9.0;Premier League;2019;2019/2020;https://sofifa.com/player/226078/mahmoud-hassan/200002;
3414;Newcastle United;Jacob Murphy;22.0;Right Winger;Norwich;£10.17m;in;Summer;10.17;Premier League;2017;2017/2018;https://sofifa.com/player/206085/jacob-murphy/180002;jacob-murphy
3415;Birmingham City;Sam Cosgrove;24.0;Centre-Forward;Aberdeen FC;£2.03m;in;Winter;2.03;Championship;2020;2020/2021;https://sofifa.com/player/227040/sam-cosgrove/210002;sam-cosgrove
3416;Aston Villa;Anwar El Ghazi;24.0;Right Winger;LOSC Lille;£8.10m;in;Summer;8.1;Premier League;2019;2019/2020;https://sofifa.com/player/216433/anwar-el-ghazi/200002;anwar-el-ghazi
3417;AS Saint-Étienne;Alexandros Katranis;19.0;Left-Back;Atromitos Athen;£720Th.;in;Summer;0.72;Ligue 1;2017;2017/2018;https://sofifa.com/player/240501/alexandros-katranis/180002;alexandros-katranis
3418;Cardiff City;Greg Cunningham;27.0;Left-Back;Preston;£3.60m;in;Summer;3.6;Premier League;2018;2018/2019;https://sofifa.com/player/198190/greg-cunningham/190002;greg-cunningham
3419;Paris Saint-Germain;Julian Draxler;23.0;Left Winger;VfL Wolfsburg;£32.40m;in;Winter;32.4;Ligue 1;2016;2016/2017;https://sofifa.com/player/202166/julian-draxler/170002;julian-draxler
3420;AC Milan;Juraj Kucka;28.0;Central Midfield;Genoa;£3.60m;in;Summer;3.6;Serie A;2015;2015/2016;0;juraj-kucka
3421;Aston Villa;Tom Heaton;33.0;Goalkeeper;Burnley;£7.92m;in;Summer;7.92;Premier League;2019;2019/2020;https://sofifa.com/player/163264/tom-heaton/200002;tom-heaton
3422;Cardiff City;Alex Smithies;28.0;Goalkeeper;QPR;£3.60m;in;Summer;3.6;Premier League;2018;2018/2019;https://sofifa.com/player/184436/alex-smithies/190002;alex-smithies
3423;Ajax Amsterdam;Rasmus Kristensen;20.0;Right-Back;FC Midtjylland;£4.95m;in;Winter;4.95;Eredivisie;2017;2017/2018;0;rasmus-kristensen
3424;AC Milan;Simone Verdi;22.0;Attacking Midfield;Torino;£405Th.;in;Summer;0.405;Serie A;2015;2015/2016;https://sofifa.com/player/196889/simone-verdi/160002;simone-verdi
3425;Blackburn Rovers;Harry Pickering;22.0;Left-Back;Crewe Alexandra;£684Th.;in;Winter;0.684;Championship;2020;2020/2021;https://sofifa.com/player/235770/harry-pickering/210002;harry-pickering
3426;Leicester City;Wilfred Ndidi;20.0;Defensive Midfield;KRC Genk;£15.84m;in;Winter;15.84;Premier League;2016;2016/2017;https://sofifa.com/player/226790/onyinye-ndidi/170002;wilfred-ndidi
3427;UD Las Palmas;Jonathan Viera;25.0;Attacking Midfield;Standard Liège;£2.61m;in;Summer;2.61;Primera Division;2015;2015/2016;https://sofifa.com/player/198164/jonathan-viera-ramos/160002;jonathan-viera
3428;Udinese Calcio;Jean-Victor Makengo;22.0;Central Midfield;OGC Nice;£3.15m;in;Summer;3.15;Serie A;2020;2020/2021;https://sofifa.com/player/230686/jean-victor-makengo/210002;jean-victor-makengo
3429;SS Lazio;Joaquín Correa;23.0;Second Striker;Sevilla FC;£16.07m;in;Summer;16.07;Serie A;2018;2018/2019;https://sofifa.com/player/215330/joaquin-correa/190002;joaquín-correa
3430;Aston Villa;Björn Engels;24.0;Centre-Back;Stade Reims;£7.20m;in;Summer;7.2;Premier League;2019;2019/2020;https://sofifa.com/player/210828/bjorn-engels/200002;björn-engels
3431;Newcastle United;Florian Lejeune;26.0;Centre-Back;SD Eibar;£9.00m;in;Summer;9.0;Premier League;2017;2017/2018;https://sofifa.com/player/197948/florian-lejeune/180002;florian-lejeune
3432;Paris Saint-Germain;Gonçalo Guedes;20.0;Left Winger;Benfica;£27.00m;in;Winter;27.0;Ligue 1;2016;2016/2017;https://sofifa.com/player/224411/goncalo-manuel-ganchinho-guedes/170002;gonçalo-guedes
3433;AS Monaco;Jemerson;23.0;Centre-Back;Atlético-MG;£9.90m;in;Winter;9.9;Ligue 1;2015;2015/2016;0;
3434;Newcastle United;Christian Atsu;25.0;Left Winger;Chelsea;£6.75m;in;Summer;6.75;Premier League;2017;2017/2018;https://sofifa.com/player/205601/christian-atsu/180002;christian-atsu
3435;Eintracht Frankfurt;Almamy Touré;22.0;Right-Back;Monaco;£675Th.;in;Winter;0.675;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/227873/almamy-toure/190002;almamy-touré
3436;Huddersfield Town;Christopher Schindler;26.0;Centre-Back;1860 Munich;£1.98m;in;Summer;1.98;Championship;2016;2016/2017;https://sofifa.com/player/200607/christopher-schindler/170002;christopher-schindler
3437;Aston Villa;Jota Peleteiro;28.0;Right Winger;Birmingham;£4.05m;in;Summer;4.05;Premier League;2019;2019/2020;0;jota-peleteiro
3438;Aston Villa;Kortney Hause;23.0;Centre-Back;Wolves;£3.06m;in;Summer;3.06;Premier League;2019;2019/2020;https://sofifa.com/player/210635/kortney-hause/200002;kortney-hause
3439;FC Paços de Ferreira;Stephen Eustáquio;24.0;Defensive Midfield;CD Cruz Azul;£2.25m;in;Winter;2.25;Liga Nos;2020;2020/2021;https://sofifa.com/player/242380/stephen-antunes-eustaquio/210002;stephen-eustáquio
3440;SS Lazio;Francesco Acerbi;30.0;Centre-Back;Sassuolo;£10.80m;in;Summer;10.8;Serie A;2018;2018/2019;https://sofifa.com/player/199845/francesco-acerbi/190002;francesco-acerbi
3441;Huddersfield Town;Rajiv van La Parra;25.0;Left Winger;Wolves;£810Th.;in;Summer;0.81;Championship;2016;2016/2017;https://sofifa.com/player/188540/rajiv-van-la-parra/170002;rajiv-van-la-parra
3442;UD Las Palmas;Sergio Araujo;23.0;Centre-Forward;Boca Juniors;£2.25m;in;Summer;2.25;Primera Division;2015;2015/2016;https://sofifa.com/player/198145/sergio-araujo/160002;sergio-araujo
3443;Ajax Amsterdam;Nicolás Tagliafico;25.0;Left-Back;Independiente;£3.60m;in;Winter;3.6;Eredivisie;2017;2017/2018;0;nicolás-tagliafico
3444;Huddersfield Town;Jon Gorenc Stankovic;20.0;Defensive Midfield;B. Dortmund II;£540Th.;in;Summer;0.54;Championship;2016;2016/2017;https://sofifa.com/player/226129/jon-gorenc-stankovic/170002;jon-gorenc-stankovic
3445;Atalanta BC;Joakim Maehle;23.0;Right-Back;KRC Genk;£10.80m;in;Winter;10.8;Serie A;2020;2020/2021;https://sofifa.com/player/234678/joakim-maehle/210002;joakim-maehle
3446;Fortuna Düsseldorf;Dawid Kownacki;22.0;Centre-Forward;Sampdoria;£6.08m;in;Winter;6.08;1 Bundesliga;2019;2019/2020;https://sofifa.com/player/221168/dawid-kownacki/200002;dawid-kownacki
3447;AS Monaco;Vágner Love;31.0;Centre-Forward;Corinthians;£1.35m;in;Winter;1.35;Ligue 1;2015;2015/2016;0;vágner-love
3448;Ajax Amsterdam;Perr Schuurs;18.0;Centre-Back;Fortuna Sittard;£1.80m;in;Winter;1.8;Eredivisie;2017;2017/2018;0;perr-schuurs
3449;Boavista FC;Yusupha Njie;24.0;Left Winger;FUS Rabat;£360Th.;in;Summer;0.36;Liga Nos;2018;2018/2019;https://sofifa.com/player/239303/yusupha-njie/190002;yusupha-njie
3450;SS Lazio;Valon Berisha;25.0;Central Midfield;RB Salzburg;£6.84m;in;Summer;6.84;Serie A;2018;2018/2019;https://sofifa.com/player/191783/valon-berisha/190002;valon-berisha
3451;Newcastle United;Joselu;27.0;Centre-Forward;Stoke City;£4.95m;in;Summer;4.95;Premier League;2017;2017/2018;https://sofifa.com/player/173608/jose-luis-sanmartin-mato/180002;
